Timestamp,Value
2019-11-16 12:48:00,3399
2011-01-01 00:00:00,4668974
2010-12-31 23:59:00,-1
2019-11-21 09:04:00,3600
2011-01-01 00:00:00,4676292
2011-01-02 22:40:00,0
2019-11-23 02:08:00,3200
2011-01-01 00:00:00,4686020
2010-12-31 23:59:00,-1
2019-12-02 14:48:00,4242
2011-01-01 00:00:00,4692308
2011-01-04 04:03:00,0
2019-12-05 20:46:00,4928
2011-01-01 00:00:00,4697138
2011-01-03 22:42:00,0
2019-12-31 21:00:00,4536
2011-01-01 00:00:00,4752236
2011-01-03 22:45:00,0
2020-01-24 21:22:00,4836
2011-01-01 00:00:00,4768424
2011-01-04 08:35:00,0
2020-01-31 00:24:00,4210
2011-01-01 00:00:00,4778064
2011-01-03 23:04:00,0
2020-02-03 03:40:00,5685
2011-01-01 00:00:00,4781140
2011-01-03 23:04:00,0
2020-02-14 18:08:00,4029
2011-01-01 00:00:00,4800380
2011-01-04 17:52:00,0
2020-02-16 17:44:00,4029
2011-01-01 00:00:00,4805100
2011-01-04 05:01:00,0
2020-02-22 09:58:00,6183
2011-01-01 00:00:00,4808912
2011-01-04 05:01:00,0
2020-02-25 19:14:00,4496
2011-01-01 00:00:00,4828794
2011-01-03 19:34:00,0
2020-03-11 03:24:00,4398
2011-01-01 00:00:00,4837870
2011-01-03 22:42:00,0
2020-03-17 04:28:00,5321
2011-01-01 00:00:00,4846104
2011-01-04 01:58:00,0
2020-10-25 02:06:00,5643
2011-01-01 00:00:00,5178770
2011-01-03 23:47:00,0
2020-11-11 02:54:00,4880
2011-01-01 00:00:00,5267226
2011-01-05 05:15:00,0
2021-01-11 16:38:00,5123
2011-01-01 00:00:00,5280120
2011-01-05 05:15:00,0
2021-01-24 10:52:00,5080
2011-01-01 00:00:00,5310246
2011-01-05 05:15:00,0
2021-02-06 02:30:00,5680
2011-01-01 00:00:00,5313852
2011-01-05 05:15:00,0
2021-02-27 10:46:00,5100
2011-01-01 00:00:00,5378404
2011-01-05 05:15:00,0
2021-03-25 22:28:00,5100
2011-01-01 00:00:00,5388350
2011-01-05 05:15:00,0
2021-04-08 14:26:00,5100
2011-01-01 00:00:00,5402926
2011-01-05 05:15:00,0
2021-04-15 03:46:00,5100
2011-01-01 00:00:00,5433952
2010-12-31 23:59:00,-1
2021-06-12 18:14:00,5643
2011-01-01 00:00:00,5512200
2011-01-04 07:22:00,0
2021-07-08 03:16:00,4733
2011-01-01 00:00:00,5546170
2011-01-04 21:29:00,0
2021-09-10 00:46:00,5000
2011-01-01 00:00:00,5644586
2011-01-04 17:58:00,0
2021-10-18 10:12:00,5606
2011-01-01 00:00:00,5698704
2011-01-04 15:29:00,0
2021-11-08 05:34:00,5246
2011-01-01 00:00:00,5718840
2011-01-04 16:29:00,0
2021-11-23 12:16:00,5371
2011-01-01 00:00:00,5748288
2010-12-31 23:59:00,-1
2021-12-06 11:04:00,5309
2011-01-01 00:00:00,5764940
2011-01-04 17:31:00,0
2021-12-18 11:24:00,4996
2011-01-01 00:00:00,5857464
2011-01-04 06:27:00,0
2022-03-06 04:54:00,4817
2011-01-01 00:00:00,5889480
2011-01-04 06:24:00,0
2022-03-24 11:36:00,4599
2011-01-01 00:00:00,5908020
2011-01-04 21:26:00,0
2022-04-03 13:44:00,-1
2010-12-31 23:59:00,5960742
2011-01-04 21:29:00,0
2022-05-12 09:42:00,5606
2011-01-01 00:00:00,6048640
2011-01-05 00:59:00,0
2022-07-09 11:22:00,6871
2011-01-01 00:00:00,6064290
2010-12-31 23:59:00,-1
2022-07-20 07:54:00,5606
2011-01-01 00:00:00,6094540
2011-01-04 02:45:00,0
2022-08-14 06:32:00,5870
2011-01-01 00:00:00,6114872
2010-12-31 23:59:00,-1
2022-08-23 00:16:00,5819
2011-01-01 00:00:00,6236346
2011-01-03 12:37:00,0
2022-11-12 01:00:00,5822
2011-01-01 00:00:00,6245908
2011-01-04 20:32:00,0
2022-11-24 01:46:00,6229
2011-01-01 00:00:00,6260692
2011-01-05 00:39:00,0
2022-12-02 11:50:00,5801
2011-01-01 00:00:00,6276218
2011-01-05 00:39:00,0
2022-12-12 11:16:00,5801
2011-01-01 00:00:00,6286996
2011-01-05 00:39:00,0
2022-12-23 07:00:00,5801
2011-01-01 00:00:00,6331206
2011-01-05 00:39:00,0
2023-01-22 07:26:00,6226
2011-01-01 00:00:00,6353628
2010-12-31 23:59:00,-1
2023-04-06 07:28:00,5199
2011-01-01 00:00:00,6452120
2010-12-31 23:59:00,-1
2023-06-02 08:40:00,4599
2011-01-01 00:00:00,6533970
2010-12-31 23:59:00,-1
2023-09-03 15:56:00,5499
2011-01-01 00:00:00,6676652
2010-12-31 23:59:00,-1
2023-09-15 14:20:00,5499
