Timestamp,Value
2020-08-24 07:10:00,1
2020-08-27 13:20:00,5905
2020-08-27 14:40:00,5904
2020-08-28 01:40:00,5894
2020-08-28 10:16:00,5918
2020-08-28 13:36:00,5920
2020-08-28 19:20:00,5917
2020-08-29 02:44:00,5922
2020-08-30 08:42:00,5954
2020-08-30 11:12:00,5959
2020-08-30 14:24:00,5958
2020-08-30 23:46:00,1
2020-08-31 23:40:00,2
2020-09-01 03:20:00,1
2020-09-01 07:22:00,2
2020-09-02 00:00:00,1
2020-12-08 01:50:00,2
2020-12-08 02:26:00,1
2020-12-08 09:24:00,2
2020-12-08 13:28:00,1
2020-12-09 04:08:00,2
2020-12-10 08:56:00,1
2020-12-10 11:32:00,2
2020-12-10 13:44:00,1
2020-12-10 19:58:00,2
2020-12-11 05:56:00,1
2020-12-11 13:36:00,2
2020-12-11 15:48:00,1
2021-02-25 13:24:00,2
2021-02-25 18:32:00,1
2021-02-25 20:28:00,2
2021-02-26 01:36:00,1
2021-02-26 05:16:00,2
2021-02-26 09:14:00,1
2021-02-27 01:42:00,2
2021-02-27 07:06:00,1
2021-03-02 10:28:00,2
2021-03-06 19:28:00,1
2021-03-07 12:20:00,2
2021-03-07 18:40:00,1
2021-03-08 06:48:00,2
2021-03-08 20:14:00,1
2021-03-09 01:52:00,2
2021-03-14 22:40:00,1
2021-10-04 02:44:00,2
2021-10-04 09:40:00,1
2021-11-04 14:18:00,2
2021-11-04 17:38:00,1
2021-11-05 00:54:00,2
2021-11-05 04:28:00,1
2021-11-08 10:48:00,2
2021-11-09 23:38:00,1
2021-11-11 05:24:00,2
2021-11-11 12:32:00,1
2022-08-03 19:44:00,-1
